标识信息/账单明细ID,标识信息/订单号,身份信息/客户名称,身份信息/资源购买账号ID,身份信息/资源购买账号,身份信息/资源归属账号ID,身份信息/资源归属账号,账单信息/服务主体,账单信息/账单月份,账单信息/账单日期,账单信息/费用类型,账单信息/交易类型,账单信息/消费时间,账单信息/服务开始时间,账单信息/服务结束时间,产品信息/产品Code,产品信息/产品名称,产品信息/商品Code,产品信息/商品名称,产品信息/计费项Code,产品信息/计费项名称,资源信息/资源ID,资源信息/实例ID（出账粒度）,资源信息/资源名称,资源信息/地域Code,资源信息/地域,资源信息/可用区,时长信息/抵扣前时长,时长信息/抵扣时长,时长信息/时长,时长信息/时长单位,时长信息/时长详情,用量信息/抵扣前用量,用量信息/抵扣用量,用量信息/用量,用量信息/用量单位,用量信息/用量详情,定价信息/官网目录价,定价信息/价格单位,定价信息/目录价用量阶梯,定价信息/用量阶梯累计规则,定价信息/目录价转换信息,定价信息/目录价因子,定价信息/定价币种,费用信息/目录总价,费用信息/计费公式,费用信息/计费辅助信息,费用信息/计费过程,费用信息/计费规则说明,订阅抵扣信息/订阅抵扣目录总价,订阅抵扣信息/订阅抵扣后金额,订阅抵扣信息/订阅抵扣金额,订阅抵扣信息/订阅抵扣详情,优惠信息/优惠金额,优惠信息/优惠后金额,优惠信息/优惠详情,优惠券抵扣信息/优惠券抵扣金额,优惠券抵扣信息/优惠券抵扣详情,应付信息/应付金额（含税）
202604_0g00v1_031_14e124b7c487a23efb41d62a683ed25e_01_00000004167745968463,,,1413461734728989,shoushoujiaoyu,1413461734728989,shoushoujiaoyu,通义云启（杭州）信息技术有限公司,202604,20260413,免费额度,后付费,2026-04-13 11:29:00,2026-04-13 11:29:00,2026-04-13 11:30:00,sfm,大模型服务平台百炼,sfm_inference_public_cn,百炼大模型推理,token_number,大模型文本消耗量,,3884489;llm-vii313z14y9bb92u;glm-5;context_0-32k_output_token;;0,,cn-beijing,华北2（北京）,,0,0,,,,0.317,0.317,0,千tokens,"{""用量"":""0"",""用量计算公式"":""用量=用量（原始单位）/1"",""用量单位（转换后）"":""千tokens"",""用量（原始单位）"":""0"",""用量（原始单位）计算公式"":""用量（原始单位）=抵扣前用量-抵扣用量"",""抵扣前用量"":""317"",""抵扣用量"":""317"",""抵扣用量计算公式"":""抵扣用量=资源包消耗用量/抵扣系数"",""资源包抵扣详情"":""[{\""免费额度商品名称\"":\""百炼大模型推理\"",\""免费额度类型\"":\""glm-5\"",\""免费额度抵扣用量\"":\""317 \"",\""免费额度总量\"":\""1000000 \"",\""免费额度承诺周期\"":\""无周期\"",\""buyerId\"":\""shoushoujiaoyu\"",\""免费额度生效时间\"":\""2026-02-16 00:00:00\"",\""免费额度失效时间\"":\""2026-05-18 00:00:00\""}]""}",0,元/千tokens,,,,,CNY,0,官网目录价*用量,,,https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,0,0,,0,,0
202604_0g00v1_031_16c38fd0d96e4695e9fbf4aeb8da4b8b_01_00000004167745911834,,,1413461734728989,shoushoujiaoyu,1413461734728989,shoushoujiaoyu,通义云启（杭州）信息技术有限公司,202604,20260413,免费额度,后付费,2026-04-13 11:29:00,2026-04-13 11:29:00,2026-04-13 11:30:00,sfm,大模型服务平台百炼,sfm_inference_public_cn,百炼大模型推理,token_number,大模型文本消耗量,,3884489;llm-vii313z14y9bb92u;glm-5;context_0-32k_input_token;;0,,cn-beijing,华北2（北京）,,0,0,,,,0.114,0.114,0,千tokens,"{""用量"":""0"",""用量计算公式"":""用量=用量（原始单位）/1"",""用量单位（转换后）"":""千tokens"",""用量（原始单位）"":""0"",""用量（原始单位）计算公式"":""用量（原始单位）=抵扣前用量-抵扣用量"",""抵扣前用量"":""114"",""抵扣用量"":""114"",""抵扣用量计算公式"":""抵扣用量=资源包消耗用量/抵扣系数"",""资源包抵扣详情"":""[{\""免费额度商品名称\"":\""百炼大模型推理\"",\""免费额度类型\"":\""glm-5\"",\""免费额度抵扣用量\"":\""114 \"",\""免费额度总量\"":\""1000000 \"",\""免费额度承诺周期\"":\""无周期\"",\""buyerId\"":\""shoushoujiaoyu\"",\""免费额度生效时间\"":\""2026-02-16 00:00:00\"",\""免费额度失效时间\"":\""2026-05-18 00:00:00\""}]""}",0,元/千tokens,,,,,CNY,0,官网目录价*用量,,,https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,0,0,,0,,0
202604_0g00v1_031_8561ea9a110fb71e4b83671f0a6dfd04_01_00000004167745896729,,,1413461734728989,shoushoujiaoyu,1413461734728989,shoushoujiaoyu,通义云启（杭州）信息技术有限公司,202604,20260413,免费额度,后付费,2026-04-13 11:29:00,2026-04-13 11:29:00,2026-04-13 11:30:00,sfm,大模型服务平台百炼,sfm_inference_public_cn,百炼大模型推理,token_number,大模型文本消耗量,,3884489;llm-vii313z14y9bb92u;glm-5;context_0-32k_input_token_cache;;0,,cn-beijing,华北2（北京）,,0,0,,,,10.829,10.829,0,千tokens,"{""用量"":""0"",""用量计算公式"":""用量=用量（原始单位）/1"",""用量单位（转换后）"":""千tokens"",""用量（原始单位）"":""0"",""用量（原始单位）计算公式"":""用量（原始单位）=抵扣前用量-抵扣用量"",""抵扣前用量"":""10829"",""抵扣用量"":""10829"",""抵扣用量计算公式"":""抵扣用量=资源包消耗用量/抵扣系数"",""资源包抵扣详情"":""[{\""免费额度商品名称\"":\""百炼大模型推理\"",\""免费额度类型\"":\""glm-5\"",\""免费额度抵扣用量\"":\""10829 \"",\""免费额度总量\"":\""1000000 \"",\""免费额度承诺周期\"":\""无周期\"",\""buyerId\"":\""shoushoujiaoyu\"",\""免费额度生效时间\"":\""2026-02-16 00:00:00\"",\""免费额度失效时间\"":\""2026-05-18 00:00:00\""}]""}",0,元/千tokens,,,,,CNY,0,官网目录价*用量,,,https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,0,0,,0,,0
202604_0g00v1_031_29d8130265b74bfcfb706498884296bc_01_00000004167748076292,,,1413461734728989,shoushoujiaoyu,1413461734728989,shoushoujiaoyu,通义云启（杭州）信息技术有限公司,202604,20260413,免费额度,后付费,2026-04-13 11:30:00,2026-04-13 11:30:00,2026-04-13 11:31:00,sfm,大模型服务平台百炼,sfm_inference_public_cn,百炼大模型推理,token_number,大模型文本消耗量,,3884489;llm-vii313z14y9bb92u;glm-5;context_0-32k_output_token;;0,,cn-beijing,华北2（北京）,,0,0,,,,0.273,0.273,0,千tokens,"{""用量"":""0"",""用量计算公式"":""用量=用量（原始单位）/1"",""用量单位（转换后）"":""千tokens"",""用量（原始单位）"":""0"",""用量（原始单位）计算公式"":""用量（原始单位）=抵扣前用量-抵扣用量"",""抵扣前用量"":""273"",""抵扣用量"":""273"",""抵扣用量计算公式"":""抵扣用量=资源包消耗用量/抵扣系数"",""资源包抵扣详情"":""[{\""免费额度商品名称\"":\""百炼大模型推理\"",\""免费额度类型\"":\""glm-5\"",\""免费额度抵扣用量\"":\""273 \"",\""免费额度总量\"":\""1000000 \"",\""免费额度承诺周期\"":\""无周期\"",\""buyerId\"":\""shoushoujiaoyu\"",\""免费额度生效时间\"":\""2026-02-16 00:00:00\"",\""免费额度失效时间\"":\""2026-05-18 00:00:00\""}]""}",0,元/千tokens,,,,,CNY,0,官网目录价*用量,,,https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,0,0,,0,,0
202604_0g00v1_031_714c813ef1b04e485b180b77129e9197_01_00000004167748015626,,,1413461734728989,shoushoujiaoyu,1413461734728989,shoushoujiaoyu,通义云启（杭州）信息技术有限公司,202604,20260413,免费额度,后付费,2026-04-13 11:30:00,2026-04-13 11:30:00,2026-04-13 11:31:00,sfm,大模型服务平台百炼,sfm_inference_public_cn,百炼大模型推理,token_number,大模型文本消耗量,,3884489;llm-vii313z14y9bb92u;glm-5;context_0-32k_input_token;;0,,cn-beijing,华北2（北京）,,0,0,,,,2.996,2.996,0,千tokens,"{""用量"":""0"",""用量计算公式"":""用量=用量（原始单位）/1"",""用量单位（转换后）"":""千tokens"",""用量（原始单位）"":""0"",""用量（原始单位）计算公式"":""用量（原始单位）=抵扣前用量-抵扣用量"",""抵扣前用量"":""2996"",""抵扣用量"":""2996"",""抵扣用量计算公式"":""抵扣用量=资源包消耗用量/抵扣系数"",""资源包抵扣详情"":""[{\""免费额度商品名称\"":\""百炼大模型推理\"",\""免费额度类型\"":\""glm-5\"",\""免费额度抵扣用量\"":\""2996 \"",\""免费额度总量\"":\""1000000 \"",\""免费额度承诺周期\"":\""无周期\"",\""buyerId\"":\""shoushoujiaoyu\"",\""免费额度生效时间\"":\""2026-02-16 00:00:00\"",\""免费额度失效时间\"":\""2026-05-18 00:00:00\""}]""}",0,元/千tokens,,,,,CNY,0,官网目录价*用量,,,https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,0,0,,0,,0
202604_0g00v1_031_fc3dcd775f21d0da66eb7b60834124b1_01_00000004167747969607,,,1413461734728989,shoushoujiaoyu,1413461734728989,shoushoujiaoyu,通义云启（杭州）信息技术有限公司,202604,20260413,免费额度,后付费,2026-04-13 11:30:00,2026-04-13 11:30:00,2026-04-13 11:31:00,sfm,大模型服务平台百炼,sfm_inference_public_cn,百炼大模型推理,token_number,大模型文本消耗量,,3884489;llm-vii313z14y9bb92u;glm-5;context_0-32k_input_token_cache;;0,,cn-beijing,华北2（北京）,,0,0,,,,20.731,20.731,0,千tokens,"{""用量"":""0"",""用量计算公式"":""用量=用量（原始单位）/1"",""用量单位（转换后）"":""千tokens"",""用量（原始单位）"":""0"",""用量（原始单位）计算公式"":""用量（原始单位）=抵扣前用量-抵扣用量"",""抵扣前用量"":""20731"",""抵扣用量"":""20731"",""抵扣用量计算公式"":""抵扣用量=资源包消耗用量/抵扣系数"",""资源包抵扣详情"":""[{\""免费额度商品名称\"":\""百炼大模型推理\"",\""免费额度类型\"":\""glm-5\"",\""免费额度抵扣用量\"":\""20731 \"",\""免费额度总量\"":\""1000000 \"",\""免费额度承诺周期\"":\""无周期\"",\""buyerId\"":\""shoushoujiaoyu\"",\""免费额度生效时间\"":\""2026-02-16 00:00:00\"",\""免费额度失效时间\"":\""2026-05-18 00:00:00\""}]""}",0,元/千tokens,,,,,CNY,0,官网目录价*用量,,,https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,0,0,,0,,0
202604_0g00v1_031_7252a34e5d912cc89b13f7d0e1eea7d6_01_00000004167751130221,,,1413461734728989,shoushoujiaoyu,1413461734728989,shoushoujiaoyu,通义云启（杭州）信息技术有限公司,202604,20260413,免费额度,后付费,2026-04-13 11:33:00,2026-04-13 11:33:00,2026-04-13 11:34:00,sfm,大模型服务平台百炼,sfm_inference_public_cn,百炼大模型推理,token_number,大模型文本消耗量,,3884489;llm-vii313z14y9bb92u;glm-5;context_0-32k_input_token_cache;;0,,cn-beijing,华北2（北京）,,0,0,,,,0.231,0.231,0,千tokens,"{""用量"":""0"",""用量计算公式"":""用量=用量（原始单位）/1"",""用量单位（转换后）"":""千tokens"",""用量（原始单位）"":""0"",""用量（原始单位）计算公式"":""用量（原始单位）=抵扣前用量-抵扣用量"",""抵扣前用量"":""231"",""抵扣用量"":""231"",""抵扣用量计算公式"":""抵扣用量=资源包消耗用量/抵扣系数"",""资源包抵扣详情"":""[{\""免费额度商品名称\"":\""百炼大模型推理\"",\""免费额度类型\"":\""glm-5\"",\""免费额度抵扣用量\"":\""231 \"",\""免费额度总量\"":\""1000000 \"",\""免费额度承诺周期\"":\""无周期\"",\""buyerId\"":\""shoushoujiaoyu\"",\""免费额度生效时间\"":\""2026-02-16 00:00:00\"",\""免费额度失效时间\"":\""2026-05-18 00:00:00\""}]""}",0,元/千tokens,,,,,CNY,0,官网目录价*用量,,,https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,0,0,,0,,0
202604_0g00v1_031_eaf799c2798972cef766842524c569d0_01_00000004167750427871,,,1413461734728989,shoushoujiaoyu,1413461734728989,shoushoujiaoyu,通义云启（杭州）信息技术有限公司,202604,20260413,免费额度,后付费,2026-04-13 11:33:00,2026-04-13 11:33:00,2026-04-13 11:34:00,sfm,大模型服务平台百炼,sfm_inference_public_cn,百炼大模型推理,token_number,大模型文本消耗量,,3884489;llm-vii313z14y9bb92u;glm-5;context_0-32k_output_token;;0,,cn-beijing,华北2（北京）,,0,0,,,,0.357,0.357,0,千tokens,"{""用量"":""0"",""用量计算公式"":""用量=用量（原始单位）/1"",""用量单位（转换后）"":""千tokens"",""用量（原始单位）"":""0"",""用量（原始单位）计算公式"":""用量（原始单位）=抵扣前用量-抵扣用量"",""抵扣前用量"":""357"",""抵扣用量"":""357"",""抵扣用量计算公式"":""抵扣用量=资源包消耗用量/抵扣系数"",""资源包抵扣详情"":""[{\""免费额度商品名称\"":\""百炼大模型推理\"",\""免费额度类型\"":\""glm-5\"",\""免费额度抵扣用量\"":\""357 \"",\""免费额度总量\"":\""1000000 \"",\""免费额度承诺周期\"":\""无周期\"",\""buyerId\"":\""shoushoujiaoyu\"",\""免费额度生效时间\"":\""2026-02-16 00:00:00\"",\""免费额度失效时间\"":\""2026-05-18 00:00:00\""}]""}",0,元/千tokens,,,,,CNY,0,官网目录价*用量,,,https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,0,0,,0,,0
202604_0g00v1_031_edcf670267bfcba3b42eff6fd298d953_01_00000004167750372872,,,1413461734728989,shoushoujiaoyu,1413461734728989,shoushoujiaoyu,通义云启（杭州）信息技术有限公司,202604,20260413,免费额度,后付费,2026-04-13 11:33:00,2026-04-13 11:33:00,2026-04-13 11:34:00,sfm,大模型服务平台百炼,sfm_inference_public_cn,百炼大模型推理,token_number,大模型文本消耗量,,3884489;llm-vii313z14y9bb92u;glm-5;context_0-32k_input_token;;0,,cn-beijing,华北2（北京）,,0,0,,,,12.984,12.984,0,千tokens,"{""用量"":""0"",""用量计算公式"":""用量=用量（原始单位）/1"",""用量单位（转换后）"":""千tokens"",""用量（原始单位）"":""0"",""用量（原始单位）计算公式"":""用量（原始单位）=抵扣前用量-抵扣用量"",""抵扣前用量"":""12984"",""抵扣用量"":""12984"",""抵扣用量计算公式"":""抵扣用量=资源包消耗用量/抵扣系数"",""资源包抵扣详情"":""[{\""免费额度商品名称\"":\""百炼大模型推理\"",\""免费额度类型\"":\""glm-5\"",\""免费额度抵扣用量\"":\""12984 \"",\""免费额度总量\"":\""1000000 \"",\""免费额度承诺周期\"":\""无周期\"",\""buyerId\"":\""shoushoujiaoyu\"",\""免费额度生效时间\"":\""2026-02-16 00:00:00\"",\""免费额度失效时间\"":\""2026-05-18 00:00:00\""}]""}",0,元/千tokens,,,,,CNY,0,官网目录价*用量,,,https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,0,0,,0,,0
202604_0g00v1_031_396861a3d69a81389de115a10d431489_01_00000004167751680094,,,1413461734728989,shoushoujiaoyu,1413461734728989,shoushoujiaoyu,通义云启（杭州）信息技术有限公司,202604,20260413,免费额度,后付费,2026-04-13 11:34:00,2026-04-13 11:34:00,2026-04-13 11:35:00,sfm,大模型服务平台百炼,sfm_inference_public_cn,百炼大模型推理,token_number,大模型文本消耗量,,3884489;llm-vii313z14y9bb92u;glm-5;context_0-32k_output_token;;0,,cn-beijing,华北2（北京）,,0,0,,,,0.523,0.523,0,千tokens,"{""用量"":""0"",""用量计算公式"":""用量=用量（原始单位）/1"",""用量单位（转换后）"":""千tokens"",""用量（原始单位）"":""0"",""用量（原始单位）计算公式"":""用量（原始单位）=抵扣前用量-抵扣用量"",""抵扣前用量"":""523"",""抵扣用量"":""523"",""抵扣用量计算公式"":""抵扣用量=资源包消耗用量/抵扣系数"",""资源包抵扣详情"":""[{\""免费额度商品名称\"":\""百炼大模型推理\"",\""免费额度类型\"":\""glm-5\"",\""免费额度抵扣用量\"":\""523 \"",\""免费额度总量\"":\""1000000 \"",\""免费额度承诺周期\"":\""无周期\"",\""buyerId\"":\""shoushoujiaoyu\"",\""免费额度生效时间\"":\""2026-02-16 00:00:00\"",\""免费额度失效时间\"":\""2026-05-18 00:00:00\""}]""}",0,元/千tokens,,,,,CNY,0,官网目录价*用量,,,https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,0,0,,0,,0
202604_0g00v1_031_433b1b25ac2c9a2443089b2f4aae435a_01_00000004167751648261,,,1413461734728989,shoushoujiaoyu,1413461734728989,shoushoujiaoyu,通义云启（杭州）信息技术有限公司,202604,20260413,免费额度,后付费,2026-04-13 11:34:00,2026-04-13 11:34:00,2026-04-13 11:35:00,sfm,大模型服务平台百炼,sfm_inference_public_cn,百炼大模型推理,token_number,大模型文本消耗量,,3884489;llm-vii313z14y9bb92u;glm-5;context_0-32k_input_token_cache;;0,,cn-beijing,华北2（北京）,,0,0,,,,13.264,13.264,0,千tokens,"{""用量"":""0"",""用量计算公式"":""用量=用量（原始单位）/1"",""用量单位（转换后）"":""千tokens"",""用量（原始单位）"":""0"",""用量（原始单位）计算公式"":""用量（原始单位）=抵扣前用量-抵扣用量"",""抵扣前用量"":""13264"",""抵扣用量"":""13264"",""抵扣用量计算公式"":""抵扣用量=资源包消耗用量/抵扣系数"",""资源包抵扣详情"":""[{\""免费额度商品名称\"":\""百炼大模型推理\"",\""免费额度类型\"":\""glm-5\"",\""免费额度抵扣用量\"":\""13264 \"",\""免费额度总量\"":\""1000000 \"",\""免费额度承诺周期\"":\""无周期\"",\""buyerId\"":\""shoushoujiaoyu\"",\""免费额度生效时间\"":\""2026-02-16 00:00:00\"",\""免费额度失效时间\"":\""2026-05-18 00:00:00\""}]""}",0,元/千tokens,,,,,CNY,0,官网目录价*用量,,,https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,0,0,,0,,0
202604_0g00v1_031_58c940ac7795119aeedbae49ee07d6dd_01_00000004167751204779,,,1413461734728989,shoushoujiaoyu,1413461734728989,shoushoujiaoyu,通义云启（杭州）信息技术有限公司,202604,20260413,免费额度,后付费,2026-04-13 11:34:00,2026-04-13 11:34:00,2026-04-13 11:35:00,sfm,大模型服务平台百炼,sfm_inference_public_cn,百炼大模型推理,token_number,大模型文本消耗量,,3884489;llm-vii313z14y9bb92u;glm-5;context_0-32k_input_token;;0,,cn-beijing,华北2（北京）,,0,0,,,,20.679,20.679,0,千tokens,"{""用量"":""0"",""用量计算公式"":""用量=用量（原始单位）/1"",""用量单位（转换后）"":""千tokens"",""用量（原始单位）"":""0"",""用量（原始单位）计算公式"":""用量（原始单位）=抵扣前用量-抵扣用量"",""抵扣前用量"":""20679"",""抵扣用量"":""20679"",""抵扣用量计算公式"":""抵扣用量=资源包消耗用量/抵扣系数"",""资源包抵扣详情"":""[{\""免费额度商品名称\"":\""百炼大模型推理\"",\""免费额度类型\"":\""glm-5\"",\""免费额度抵扣用量\"":\""20679 \"",\""免费额度总量\"":\""1000000 \"",\""免费额度承诺周期\"":\""无周期\"",\""buyerId\"":\""shoushoujiaoyu\"",\""免费额度生效时间\"":\""2026-02-16 00:00:00\"",\""免费额度失效时间\"":\""2026-05-18 00:00:00\""}]""}",0,元/千tokens,,,,,CNY,0,官网目录价*用量,,,https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,0,0,,0,,0
202604_0g00v1_031_26d254f5e4f9df2061c9b6dd2d50f4dc_01_00000004167751719729,,,1413461734728989,shoushoujiaoyu,1413461734728989,shoushoujiaoyu,通义云启（杭州）信息技术有限公司,202604,20260413,免费额度,后付费,2026-04-13 11:35:00,2026-04-13 11:35:00,2026-04-13 11:36:00,sfm,大模型服务平台百炼,sfm_inference_public_cn,百炼大模型推理,token_number,大模型文本消耗量,,3884489;llm-vii313z14y9bb92u;glm-5;context_0-32k_input_token;;0,,cn-beijing,华北2（北京）,,0,0,,,,7.022,7.022,0,千tokens,"{""用量"":""0"",""用量计算公式"":""用量=用量（原始单位）/1"",""用量单位（转换后）"":""千tokens"",""用量（原始单位）"":""0"",""用量（原始单位）计算公式"":""用量（原始单位）=抵扣前用量-抵扣用量"",""抵扣前用量"":""7022"",""抵扣用量"":""7022"",""抵扣用量计算公式"":""抵扣用量=资源包消耗用量/抵扣系数"",""资源包抵扣详情"":""[{\""免费额度商品名称\"":\""百炼大模型推理\"",\""免费额度类型\"":\""glm-5\"",\""免费额度抵扣用量\"":\""7022 \"",\""免费额度总量\"":\""1000000 \"",\""免费额度承诺周期\"":\""无周期\"",\""buyerId\"":\""shoushoujiaoyu\"",\""免费额度生效时间\"":\""2026-02-16 00:00:00\"",\""免费额度失效时间\"":\""2026-05-18 00:00:00\""}]""}",0,元/千tokens,,,,,CNY,0,官网目录价*用量,,,https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,0,0,,0,,0
202604_0g00v1_031_7781f94707778f0a8a5c3bc2b7706bb0_01_00000004167751693903,,,1413461734728989,shoushoujiaoyu,1413461734728989,shoushoujiaoyu,通义云启（杭州）信息技术有限公司,202604,20260413,免费额度,后付费,2026-04-13 11:35:00,2026-04-13 11:35:00,2026-04-13 11:36:00,sfm,大模型服务平台百炼,sfm_inference_public_cn,百炼大模型推理,token_number,大模型文本消耗量,,3884489;llm-vii313z14y9bb92u;glm-5;context_0-32k_input_token_cache;;0,,cn-beijing,华北2（北京）,,0,0,,,,13.553,13.553,0,千tokens,"{""用量"":""0"",""用量计算公式"":""用量=用量（原始单位）/1"",""用量单位（转换后）"":""千tokens"",""用量（原始单位）"":""0"",""用量（原始单位）计算公式"":""用量（原始单位）=抵扣前用量-抵扣用量"",""抵扣前用量"":""13553"",""抵扣用量"":""13553"",""抵扣用量计算公式"":""抵扣用量=资源包消耗用量/抵扣系数"",""资源包抵扣详情"":""[{\""免费额度商品名称\"":\""百炼大模型推理\"",\""免费额度类型\"":\""glm-5\"",\""免费额度抵扣用量\"":\""13553 \"",\""免费额度总量\"":\""1000000 \"",\""免费额度承诺周期\"":\""无周期\"",\""buyerId\"":\""shoushoujiaoyu\"",\""免费额度生效时间\"":\""2026-02-16 00:00:00\"",\""免费额度失效时间\"":\""2026-05-18 00:00:00\""}]""}",0,元/千tokens,,,,,CNY,0,官网目录价*用量,,,https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,0,0,,0,,0
202604_0g00v1_031_f970ddd0de64ff126c94123f1faae2fb_01_00000004167752206697,,,1413461734728989,shoushoujiaoyu,1413461734728989,shoushoujiaoyu,通义云启（杭州）信息技术有限公司,202604,20260413,免费额度,后付费,2026-04-13 11:35:00,2026-04-13 11:35:00,2026-04-13 11:36:00,sfm,大模型服务平台百炼,sfm_inference_public_cn,百炼大模型推理,token_number,大模型文本消耗量,,3884489;llm-vii313z14y9bb92u;glm-5;context_0-32k_output_token;;0,,cn-beijing,华北2（北京）,,0,0,,,,1.844,1.844,0,千tokens,"{""用量"":""0"",""用量计算公式"":""用量=用量（原始单位）/1"",""用量单位（转换后）"":""千tokens"",""用量（原始单位）"":""0"",""用量（原始单位）计算公式"":""用量（原始单位）=抵扣前用量-抵扣用量"",""抵扣前用量"":""1844"",""抵扣用量"":""1844"",""抵扣用量计算公式"":""抵扣用量=资源包消耗用量/抵扣系数"",""资源包抵扣详情"":""[{\""免费额度商品名称\"":\""百炼大模型推理\"",\""免费额度类型\"":\""glm-5\"",\""免费额度抵扣用量\"":\""1844 \"",\""免费额度总量\"":\""1000000 \"",\""免费额度承诺周期\"":\""无周期\"",\""buyerId\"":\""shoushoujiaoyu\"",\""免费额度生效时间\"":\""2026-02-16 00:00:00\"",\""免费额度失效时间\"":\""2026-05-18 00:00:00\""}]""}",0,元/千tokens,,,,,CNY,0,官网目录价*用量,,,https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,0,0,,0,,0
202604_0g00v1_031_69e97c177d49f0cb149f2fc2ceb50ae3_01_00000004167752319958,,,1413461734728989,shoushoujiaoyu,1413461734728989,shoushoujiaoyu,通义云启（杭州）信息技术有限公司,202604,20260413,免费额度,后付费,2026-04-13 11:36:00,2026-04-13 11:36:00,2026-04-13 11:37:00,sfm,大模型服务平台百炼,sfm_inference_public_cn,百炼大模型推理,token_number,大模型文本消耗量,,3884489;llm-vii313z14y9bb92u;glm-5;context_0-32k_output_token;;0,,cn-beijing,华北2（北京）,,0,0,,,,0.583,0.583,0,千tokens,"{""用量"":""0"",""用量计算公式"":""用量=用量（原始单位）/1"",""用量单位（转换后）"":""千tokens"",""用量（原始单位）"":""0"",""用量（原始单位）计算公式"":""用量（原始单位）=抵扣前用量-抵扣用量"",""抵扣前用量"":""583"",""抵扣用量"":""583"",""抵扣用量计算公式"":""抵扣用量=资源包消耗用量/抵扣系数"",""资源包抵扣详情"":""[{\""免费额度商品名称\"":\""百炼大模型推理\"",\""免费额度类型\"":\""glm-5\"",\""免费额度抵扣用量\"":\""583 \"",\""免费额度总量\"":\""1000000 \"",\""免费额度承诺周期\"":\""无周期\"",\""buyerId\"":\""shoushoujiaoyu\"",\""免费额度生效时间\"":\""2026-02-16 00:00:00\"",\""免费额度失效时间\"":\""2026-05-18 00:00:00\""}]""}",0,元/千tokens,,,,,CNY,0,官网目录价*用量,,,https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,0,0,,0,,0
202604_0g00v1_031_77d848a144edbdd0a2010a6dd73aba66_01_00000004167753001186,,,1413461734728989,shoushoujiaoyu,1413461734728989,shoushoujiaoyu,通义云启（杭州）信息技术有限公司,202604,20260413,免费额度,后付费,2026-04-13 11:36:00,2026-04-13 11:36:00,2026-04-13 11:37:00,sfm,大模型服务平台百炼,sfm_inference_public_cn,百炼大模型推理,token_number,大模型文本消耗量,,3884489;llm-vii313z14y9bb92u;glm-5;context_0-32k_input_token_cache;;0,,cn-beijing,华北2（北京）,,0,0,,,,43,43,0,千tokens,"{""用量"":""0"",""用量计算公式"":""用量=用量（原始单位）/1"",""用量单位（转换后）"":""千tokens"",""用量（原始单位）"":""0"",""用量（原始单位）计算公式"":""用量（原始单位）=抵扣前用量-抵扣用量"",""抵扣前用量"":""43000"",""抵扣用量"":""43000"",""抵扣用量计算公式"":""抵扣用量=资源包消耗用量/抵扣系数"",""资源包抵扣详情"":""[{\""免费额度商品名称\"":\""百炼大模型推理\"",\""免费额度类型\"":\""glm-5\"",\""免费额度抵扣用量\"":\""43000 \"",\""免费额度总量\"":\""1000000 \"",\""免费额度承诺周期\"":\""无周期\"",\""buyerId\"":\""shoushoujiaoyu\"",\""免费额度生效时间\"":\""2026-02-16 00:00:00\"",\""免费额度失效时间\"":\""2026-05-18 00:00:00\""}]""}",0,元/千tokens,,,,,CNY,0,官网目录价*用量,,,https://help.aliyun.com/zh/model-studio/billing-for-model-studio,,,,,0,0,,0,,0
